Suburb,Rooms,Type,Method,SellerG,Regionname,Propertycount,Distance,CouncilArea,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Price
Suburb_25,5,t,SP,Agent_1,Western Metro,3713,20.9,Council_5,4,2,2,388.1,,1971,695056
Suburb_15,1,h,PI,Agent_2,Northern Metro,12340,7.6,Council_18,0,3,1,480.5,,,583076
Suburb_39,5,h,S,Agent_13,South-Eastern Metro,8110,15.3,Council_17,5,2,1,27.9,,1934,667721
Suburb_4,3,h,PI,Agent_13,Southern Metro,2583,2.6,Council_14,4,1,1,,,,628202
Suburb_14,5,h,SA,Agent_8,South-Eastern Metro,9338,16.4,Council_7,6,1,0,569.1,,1956,705236
Suburb_5,2,t,PI,Agent_7,South-Eastern Metro,5367,6.8,Council_8,3,2,0,567,123.1,,345984
Suburb_14,3,h,SP,Agent_2,Eastern Victoria,13044,12.3,Council_10,3,2,3,847.4,128.5,,762770
Suburb_39,4,t,VB,Agent_17,South-Eastern Metro,4387,7.2,Council_14,3,3,0,,,,653638
Suburb_15,2,h,SA,Agent_10,Eastern Metro,13038,4.6,Council_17,2,3,3,953.7,148.5,1978,656518
Suburb_37,2,h,PI,Agent_3,South-Eastern Metro,10619,9.6,Council_15,3,1,1,774.4,,1970,516652
Suburb_20,3,t,SP,Agent_10,Eastern Victoria,2462,7.1,Council_20,2,1,3,,,,556642
Suburb_28,4,h,VB,Agent_24,Eastern Metro,11510,14.2,Council_21,3,1,1,313.1,,1976,611727
Suburb_19,2,t,S,Agent_7,Northern Metro,10948,6.3,Council_15,3,1,3,,,,607776
Suburb_11,4,h,SA,Agent_23,Western Victoria,7112,13.7,Council_8,3,1,2,,,1901,607486
Suburb_31,4,u,SP,Agent_7,Southern Metro,2830,20.4,Council_13,5,1,3,746.6,112.3,,741964
Suburb_39,1,h,SP,Agent_5,Northern Victoria,7431,6.2,Council_9,2,2,0,686.9,120.8,1906,473601
Suburb_11,5,h,VB,Agent_7,Southern Metro,9324,6.4,Council_14,5,1,3,,,,828580
Suburb_32,1,u,S,Agent_9,Southern Metro,2414,3.1,Council_18,1,1,,736.1,134,,440993
Suburb_11,4,h,SP,Agent_4,Eastern Victoria,5445,10.4,Council_8,3,1,1,878.3,158.8,1971,625356
Suburb_29,3,h,S,Agent_15,Southern Metro,10676,1.3,Council_11,3,3,0,764,,1998,
Suburb_32,4,h,SP,Agent_9,South-Eastern Metro,8516,7.3,Council_1,5,2,3,490.4,181.7,2012,703404
Suburb_18,4,u,PI,Agent_18,South-Eastern Metro,14888,0.5,Council_16,5,3,,,98.1,,835687
Suburb_30,4,h,S,Agent_13,Northern Metro,3642,7.9,Council_11,4,1,3,,63.6,1983,515800
Suburb_11,4,u,SP,Agent_12,Southern Metro,11779,11.5,Council_10,5,1,,295.6,137.6,,790859
Suburb_4,5,t,VB,Agent_12,Eastern Victoria,6668,3.7,Council_12,6,2,0,,,1937,965094
Suburb_4,4,h,SA,Agent_4,Northern Victoria,3735,8.2,Council_5,3,2,1,655.9,,1973,673365
Suburb_18,5,h,S,Agent_18,Northern Metro,14291,4.7,Council_13,5,1,1,,,1981,779996
Suburb_37,3,u,VB,Agent_3,Western Victoria,9535,5.3,Council_16,3,1,0,348.8,139.1,1970,661418
Suburb_6,2,h,S,Agent_19,Eastern Metro,8263,5.6,Council_8,2,2,3,573,193,1911,379112
Suburb_19,2,h,PI,Agent_25,Northern Metro,4776,7.4,Council_3,3,1,3,,54.2,1949,560082
